,site,date,time,predict next_15 avg-len,test_label,predict lane,curren_lane
0,0801,2022-12-08,00:30-00:33,0.001,0.0,0.0,0.0
1,0801,2022-12-08,00:33-00:36,0.0,0.0,0.0,0.0
2,0801,2022-12-08,00:36-00:39,0.0,0.0,0.0,0.0
3,0801,2022-12-08,00:39-00:42,0.0,0.0,0.0,0.0
4,0801,2022-12-08,00:42-00:45,0.0,0.0,0.0,0.0
5,0801,2022-12-08,00:45-00:48,0.0,0.0,0.0,0.0
6,0801,2022-12-08,00:48-00:51,0.0,0.0,0.0,0.0
7,0801,2022-12-08,00:51-00:54,-0.001,0.0,-0.0,0.0
8,0801,2022-12-08,00:54-00:57,0.001,0.0,0.0,0.0
9,0801,2022-12-08,00:57-01:00,0.001,0.0,0.0,0.0
10,0801,2022-12-08,01:00-01:03,0.001,0.0,0.0,0.0
11,0801,2022-12-08,01:03-01:06,0.002,0.0,0.0,0.0
12,0801,2022-12-08,01:06-01:09,0.002,0.0,0.0,0.0
13,0801,2022-12-08,01:09-01:12,0.001,0.0,0.0,0.0
14,0801,2022-12-08,01:12-01:15,0.001,0.0,0.0,0.0
15,0801,2022-12-08,01:15-01:18,0.0,0.0,0.0,0.0
16,0801,2022-12-08,01:18-01:21,0.0,0.0,0.0,0.0
17,0801,2022-12-08,01:21-01:24,0.003,0.0,0.0,0.0
18,0801,2022-12-08,01:24-01:27,0.002,0.0,0.0,0.0
19,0801,2022-12-08,01:27-01:30,0.002,0.0,0.0,0.0
20,0801,2022-12-08,01:30-01:33,0.003,0.0,0.0,0.0
21,0801,2022-12-08,01:33-01:36,0.004,0.0,0.0,0.0
22,0801,2022-12-08,01:36-01:39,0.003,0.0,0.0,0.0
23,0801,2022-12-08,01:39-01:42,0.004,0.0,0.0,0.0
24,0801,2022-12-08,01:42-01:45,0.004,0.0,0.0,0.0
25,0801,2022-12-08,01:45-01:48,0.002,0.0,0.0,0.0
26,0801,2022-12-08,01:48-01:51,0.003,0.0,0.0,0.0
27,0801,2022-12-08,01:51-01:54,0.002,0.0,0.0,0.0
28,0801,2022-12-08,01:54-01:57,0.001,0.0,0.0,0.0
29,0801,2022-12-08,01:57-02:00,0.001,0.0,0.0,0.0
30,0801,2022-12-08,02:00-02:03,-0.001,0.0,-0.0,0.0
31,0801,2022-12-08,02:03-02:06,-0.001,0.0,-0.0,0.0
32,0801,2022-12-08,02:06-02:09,-0.001,0.0,-0.0,0.0
33,0801,2022-12-08,02:09-02:12,-0.002,0.0,-0.0,0.0
34,0801,2022-12-08,02:12-02:15,-0.002,0.0,-0.0,0.0
35,0801,2022-12-08,02:15-02:18,-0.002,0.0,-0.0,0.0
36,0801,2022-12-08,02:18-02:21,-0.002,0.0,-0.0,0.0
37,0801,2022-12-08,02:21-02:24,-0.002,0.0,-0.0,0.0
38,0801,2022-12-08,02:24-02:27,-0.002,0.0,-0.0,0.0
39,0801,2022-12-08,02:27-02:30,-0.002,0.0,-0.0,0.0
40,0801,2022-12-08,02:30-02:33,-0.002,0.0,-0.0,0.0
41,0801,2022-12-08,02:33-02:36,-0.002,0.0,-0.0,0.0
42,0801,2022-12-08,02:36-02:39,-0.002,0.0,-0.0,0.0
43,0801,2022-12-08,02:39-02:42,-0.002,0.0,-0.0,0.0
44,0801,2022-12-08,02:42-02:45,-0.002,0.0,-0.0,0.0
45,0801,2022-12-08,02:45-02:48,-0.002,0.0,-0.0,0.0
46,0801,2022-12-08,02:48-02:51,-0.002,0.0,-0.0,0.0
47,0801,2022-12-08,02:51-02:54,-0.002,0.0,-0.0,0.0
48,0801,2022-12-08,02:54-02:57,-0.002,0.0,-0.0,0.0
49,0801,2022-12-08,02:57-03:00,-0.002,0.0,-0.0,0.0
50,0801,2022-12-08,03:00-03:03,-0.002,0.0,-0.0,0.0
51,0801,2022-12-08,03:03-03:06,-0.0,0.0,-0.0,0.0
52,0801,2022-12-08,03:06-03:09,0.0,0.0,0.0,0.0
